scorer,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT
bodyparts,pupil 0,pupil 0,pupil 45,pupil 45,pupil 90,pupil 90,pupil 135,pupil 135,pupil 180,pupil 180,pupil 225,pupil 225,pupil 270,pupil 270,pupil 315,pupil 315,eyelid top,eyelid top,eyelid bot,eyelid bot
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-12-18_2_M151203_FR068_eye\img00664.png,492.75674637155936,190.7722760069496,487.21661376953125,184.72344970703125,480.5278015136719,182.7610321044922,475.55923322772145,185.65950182905183,472.77044731250453,192.63146661709422,475.0115661621094,198.97532653808594,479.85382080078125,201.36268615722656,487.6439721936616,200.53302671020893,493.22833251953125,89.68191528320312,474.861328125,300.15350341796875
labeled-data\2015-12-18_2_M151203_FR068_eye\img00671.png,491.1292419433594,191.20822143554688,487.2405090332031,184.3392333984375,479.9892578125,182.04527282714844,474.86029052734375,186.35284423828125,471.5793151855469,192.09774780273438,474.421630859375,198.1580352783203,481.30479444376647,201.6320117980748,487.78935743811587,197.74127400146511,487.3008728027344,89.30560302734375,471.4750061035156,302.0252990722656
labeled-data\2015-12-18_2_M151203_FR068_eye\img00771.png,491.8998107910156,192.84979248046875,487.560791015625,185.4267578125,481.1368408203125,183.6244659423828,476.40972900390625,186.6746368408203,471.7932434082031,193.5986328125,475.4509582519531,198.96389770507812,483.4663154418829,201.6320117980748,487.78935743811587,198.60588240071172,472.2264062516772,93.1236576926272,474.6268005371094,300.6747741699219
labeled-data\2015-12-18_2_M151203_FR068_eye\img01009.png,489.12615966796875,192.88583374023438,485.7898028815612,187.95047391805548,480.46652763914096,186.61965510745043,477.8048900179309,192.830142890274,474.6996461265191,195.4917805114841,477.8048900179309,201.7022682943077,483.1281652603511,201.258662024106,487.0253601074219,197.55380249023438,449.41408872502313,98.34200733731524,473.5207214355469,301.7778015136719
labeled-data\2015-12-18_2_M151203_FR068_eye\img01519.png,485.3461966113595,193.71735543067737,483.1281652603511,189.28129272866053,479.57931509873765,187.0632613776521,475.58685866692247,189.72489899886222,472.92522104571236,194.60456797108074,472.4816147755107,200.81505575390432,479.13570882853594,199.48423694329927,482.6845589901494,199.04063067309758,456.77874755859375,103.2075424194336,479.2535705566406,299.8609924316406
labeled-data\2015-12-18_2_M151203_FR068_eye\img01549.png,484.5706787109375,192.8008270263672,481.42254638671875,186.91098022460938,476.47407120732584,185.73244256704706,471.3276672363281,189.5862579345703,469.3723449707031,194.63742065429688,472.4816147755107,199.48423694329927,477.8048900179309,201.7022682943077,481.79734644974604,198.5970244028959,455.167724609375,102.62606811523438,478.2276611328125,298.7634582519531
labeled-data\2015-12-18_2_M151203_FR068_eye\img01984.png,487.6356201171875,191.11883544921875,484.54833984375,184.1436004638672,479.134521484375,182.99435424804688,473.88909912109375,186.28585815429688,472.164794921875,192.29991149902344,473.2104187011719,197.26219177246094,477.8496398925781,198.7649383544922,485.7508544921875,196.0898895263672,491.0301208496094,89.01558685302734,476.3092346191406,300.7211608886719
labeled-data\2015-12-18_2_M151203_FR068_eye\img01985.png,486.2774963378906,190.98121643066406,483.4263916015625,184.82925415039062,477.70623779296875,183.1129150390625,474.25603985631744,188.83768645845885,469.37506103515625,192.42657470703125,473.2897644042969,197.2776336669922,478.82489013671875,199.11448669433594,484.2010192871094,195.07733154296875,469.4603576660156,91.70440673828125,473.6810607910156,300.3525695800781
