scorer,,,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,,,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2018-05-26_2_SS093_eye_clip,img14632.png,167.68097401200993,56.8401242626617,158.7930145263672,219.5122833251953,264.26947021484375,157.3695831298828,85.32275390625,120.14042663574219,180.02505493164062,41.77753829956055,165.642333984375,232.7088165283203,317.11346435546875,147.88232421875,54.403263092041016,101.3583755493164
labeled-data,2018-05-26_2_SS093_eye_clip,img24228.png,,,,,,,94.9595971742761,123.95857279564757,181.06063842773438,77.81505584716797,178.21131896972656,200.21746826171875,316.4712123763708,144.6506918429571,76.96454620361328,118.80663299560547
labeled-data,2018-05-26_2_SS093_eye_clip,img27515.png,157.53274536132812,31.09820556640625,175.8148651123047,230.17176818847656,271.81427001953125,152.8547821044922,71.62302765838677,104.75558704281198,173.1348876953125,19.183639526367188,177.50059509277344,240.510986328125,314.9068603515625,141.50189208984375,51.73295593261719,80.9109878540039
labeled-data,2018-05-26_2_SS093_eye_clip,img28082.png,161.10258896356976,36.62713035342017,167.16526959374238,228.77357854085926,273.502685546875,151.075439453125,72.5966796875,116.50699615478516,167.64344787597656,23.159297943115234,163.78482055664062,240.2798614501953,313.18475341796875,138.79176330566406,51.51612854003906,81.83374786376953
labeled-data,2018-05-26_2_SS093_eye_clip,img29777.png,1.9571619033813477,0.8548729419708252,,,,,,,199.80136108398438,109.20109558105469,194.6695556640625,169.1032257080078,304.1347961425781,134.0322723388672,104.06953430175781,124.7846450805664
labeled-data,2018-05-26_2_SS093_eye_clip,img30118.png,180.72064208984375,32.40226364135742,158.36805725097656,226.47073364257812,278.5674743652344,160.72494506835938,75.48471069335938,111.08502960205078,171.64248657226562,23.94080924987793,163.64051818847656,237.0560302734375,316.3353576660156,143.16943359375,53.475826263427734,92.00672912597656
labeled-data,2018-05-26_2_SS093_eye_clip,img31387.png,165.60861206054688,32.85166549682617,164.6605682373047,226.09251403808594,275.91650390625,161.5041046142578,73.6726303100586,109.0657958984375,172.8915557861328,23.93508529663086,171.8412628173828,239.16351318359375,314.3403015136719,143.33462524414062,53.5893440246582,89.46238708496094
labeled-data,2018-05-26_2_SS093_eye_clip,img36533.png,159.6763916015625,30.39897918701172,166.7253875732422,228.21205139160156,275.3062744140625,153.32723999023438,73.84388840214723,105.24677048295501,171.36607360839844,20.6232967376709,175.44496154785156,239.54173278808594,313.9525146484375,138.785400390625,51.61262893676758,83.16506958007812
labeled-data,2018-05-26_2_SS093_eye_clip,img36692.png,,,169.44655417324572,227.67285086829395,290.68985148532465,148.3756561279297,80.17915548214413,112.66846343678776,173.8778533935547,31.33683967590332,176.47669982910156,235.85353088378906,306.3370666503906,136.40760803222656,55.45320510864258,96.63656616210938
labeled-data,2018-05-26_2_SS093_eye_clip,img37529.png,163.974396164898,34.41989419241327,162.53828760057058,227.0993211074142,283.45648193359375,155.42393493652344,72.64200592041016,115.8636703491211,178.87464904785156,24.211673736572266,166.05703735351562,239.49130249023438,312.98583984375,142.02365112304688,52.596824645996094,86.90074157714844
labeled-data,2018-05-26_2_SS093_eye_clip,img38214.png,160.8146209716797,33.69586944580078,175.79248046875,230.31837463378906,280.1378262360638,155.6605818642847,72.0338134765625,110.26041412353516,167.69276428222656,23.44309425354004,178.97567749023438,239.39112854003906,313.19775390625,138.184814453125,52.19738006591797,87.12284088134766
labeled-data,2018-05-26_2_SS093_eye_clip,img40709.png,157.61814880371094,27.872404098510742,167.28094482421875,230.09237670898438,279.588623046875,155.46340942382812,72.77864074707031,105.85087585449219,166.0168914794922,18.216943740844727,178.5259246826172,245.09600830078125,315.2239685058594,140.85313415527344,50.623714447021484,83.79945373535156
labeled-data,2018-05-26_2_SS093_eye_clip,img40927.png,155.05092580054384,30.647580681797365,174.5786590576172,230.41615295410156,278.3316650390625,154.60140991210938,72.0223159790039,105.09198760986328,158.61016845703125,17.39891242980957,179.03041076660156,245.04054260253906,315.2376403808594,141.21487426757812,50.36973190307617,82.72665405273438
labeled-data,2018-05-26_2_SS093_eye_clip,img41572.png,163.12947123814018,32.04577992394255,167.6887574065704,229.54787135774995,276.5926513671875,154.14610290527344,72.81351182241815,116.89988543436792,171.20877075195312,22.070632934570312,163.5713348388672,239.68960571289062,312.57470703125,140.70065307617188,52.16055679321289,82.63011169433594
labeled-data,2018-05-26_2_SS093_eye_clip,img43214.png,159.36973571777344,32.912498474121094,164.86073303222656,231.63851928710938,274.8438504059857,155.24287251369876,71.54446411132812,108.21686553955078,166.40318298339844,22.444156646728516,176.30316162109375,246.400146484375,317.6764831542969,145.74305725097656,50.38995361328125,87.02606964111328
labeled-data,2018-05-26_2_SS093_eye_clip,img52861.png,,,,,,,,,200.0677032470703,91.1387939453125,196.07952880859375,145.5696563720703,313.3519287109375,126.53765106201172,116.01334381103516,100.33747863769531
labeled-data,2018-05-26_2_SS093_eye_clip,img53055.png,160.73028507202366,27.7111641989477,169.79550415669797,226.3034861351867,277.15240478515625,152.62911987304688,69.58206176757812,102.10443878173828,169.1154327392578,13.979226112365723,178.55958557128906,242.48809814453125,313.9087829589844,139.082275390625,53.40523910522461,75.07366180419922
labeled-data,2018-05-26_2_SS093_eye_clip,img53491.png,155.29275306578842,26.926352577823536,165.06777954101562,228.60227966308594,273.24310302734375,146.78549194335938,66.23739419212265,114.20373040452995,168.42422485351562,9.218262672424316,165.66360473632812,240.65850830078125,314.0863342285156,135.4405975341797,53.7310905456543,70.66377258300781
labeled-data,2018-05-26_2_SS093_eye_clip,img53665.png,163.9074191538354,31.15485083080671,164.15184020996094,227.17481994628906,274.3515930175781,152.81622314453125,68.43108926048191,116.26306729873312,167.39505004882812,16.035661697387695,170.4948272705078,239.76983642578125,312.4446105957031,138.6931915283203,54.387577056884766,79.46875762939453
labeled-data,2018-05-26_2_SS093_eye_clip,img53691.png,156.47360229492188,27.152502059936523,171.00026743676085,226.27774211032468,272.8187344391888,151.11077554497567,68.78414916992188,103.28874969482422,167.72360229492188,14.705041885375977,175.9578857421875,239.54908752441406,313.7768249511719,140.5470428466797,53.77122497558594,76.58777618408203
labeled-data,2018-05-26_2_SS093_eye_clip,img54198.png,165.80673217773438,30.220678329467773,163.31893920898438,227.3764190673828,278.44451904296875,152.43685913085938,70.2904283817397,113.59405847696729,167.806884765625,16.312305450439453,165.64405822753906,240.01153564453125,311.8602600097656,137.5388641357422,51.05862045288086,78.15032958984375
labeled-data,2018-05-26_2_SS093_eye_clip,img54626.png,,,,,,,,,196.94134521484375,100.69801330566406,194.17970275878906,188.48388671875,313.9273986816406,139.7869110107422,90.5613784790039,123.45867156982422
labeled-data,2018-05-26_2_SS093_eye_clip,img54769.png,,,167.10730516585159,225.27623645721064,279.70159912109375,153.02560424804688,67.95777975536726,106.77461881850422,179.402587890625,23.42606544494629,170.55947875976562,239.32444763183594,310.8241271972656,140.30479431152344,55.10783004760742,88.86003112792969
labeled-data,2018-05-26_2_SS093_eye_clip,img54822.png,,,,,,,,,181.20071411132812,74.05231475830078,173.51841735839844,206.47683715820312,305.61212158203125,139.03330993652344,73.21138000488281,115.10108184814453
labeled-data,2018-05-26_2_SS093_eye_clip,img54843.png,,,,,,,,,185.1993408203125,81.44788360595703,177.89259338378906,194.5369873046875,302.84356689453125,137.04861450195312,75.06067657470703,115.0676040649414
labeled-data,2018-05-26_2_SS093_eye_clip,img54929.png,,,,,,,77.01827632584556,117.80732768345271,179.31674194335938,65.89678955078125,169.19236755371094,214.287109375,302.92205810546875,136.5959014892578,61.421722412109375,109.46836853027344
labeled-data,2018-05-26_2_SS093_eye_clip,img54940.png,,,,,289.11383056640625,142.3227081298828,74.61788748623403,104.39580466468067,173.78561401367188,43.82737731933594,177.8629608154297,228.1923828125,306.2126159667969,138.4860382080078,60.27129364013672,98.10871887207031
labeled-data,2018-05-26_2_SS093_eye_clip,img54952.png,,,174.746087975891,223.078488323883,285.53436279296875,150.33139038085938,74.07588340153507,115.87183070833589,177.09068298339844,37.087650299072266,174.13853454589844,232.7934112548828,303.82318115234375,138.88345336914062,55.28282165527344,96.58032989501953
labeled-data,2018-05-26_2_SS093_eye_clip,img55553.png,,,170.38578796268058,225.90807445587532,280.3863220214844,151.60716247558594,69.54879162743373,112.61715017654393,173.85719299316406,28.623720169067383,172.03050231933594,237.0914306640625,315.1846618652344,139.4263153076172,53.16420364379883,86.27392578125
labeled-data,2018-05-26_2_SS093_eye_clip,img56098.png,,,176.7439422607422,228.94825744628906,277.3363952636719,150.82882690429688,74.52714975839075,97.09651617293912,168.7097930908203,22.822044372558594,179.97154235839844,238.1800537109375,314.223876953125,137.93006896972656,54.03229904174805,81.30606842041016
labeled-data,2018-05-26_2_SS093_eye_clip,img56149.png,,,164.46288196383648,227.61424502782054,278.70623779296875,151.46237182617188,70.83919175982575,114.61389036628765,172.211669921875,23.884334564208984,164.89654541015625,239.13717651367188,313.3088073730469,138.1885528564453,51.9892463684082,83.43801879882812
labeled-data,2018-05-26_2_SS093_eye_clip,img57075.png,,,165.63378428877132,229.10718099799308,278.27484130859375,151.0045166015625,73.4454229830938,103.66949899468267,172.0633087158203,25.53008270263672,175.34414672851562,241.92799377441406,316.9677734375,138.7058563232422,54.22811508178711,86.16410827636719
labeled-data,2018-05-26_2_SS093_eye_clip,img57963.png,154.2512289525302,37.494596429260156,168.64034456887453,234.79001308138277,279.0296630859375,153.85543823242188,69.46196355062489,116.89232099381638,163.7548828125,15.035111427307129,173.93170166015625,245.9202423095703,314.9853820800781,138.71151733398438,53.950130462646484,75.57103729248047
labeled-data,2018-05-26_2_SS093_eye_clip,img58377.png,199.58572305106333,44.206637820297175,195.48683248736904,236.67802016728956,301.22388396369547,158.3992433287658,84.15435028076172,108.12374877929688,180.765380859375,12.616683959960938,214.94204175560327,245.27179407418927,317.660400390625,138.5786590576172,51.382362365722656,75.7291488647461
labeled-data,2018-05-26_2_SS093_eye_clip,img60942.png,,,,,,,,,191.49942016601562,76.38348388671875,175.72689819335938,214.429931640625,311.6872863769531,139.76202392578125,73.72554016113281,116.90872192382812
labeled-data,2018-05-26_2_SS093_eye_clip,img60991.png,,,,,268.7843825882187,136.1677361564064,,,189.2009735107422,90.62655639648438,187.88307189941406,188.40879821777344,310.001220703125,135.19093322753906,84.04649353027344,119.98272705078125
labeled-data,2018-05-26_2_SS093_eye_clip,img61048.png,,,,,,,76.13370081688475,119.61440668981953,186.1974639892578,57.55352783203125,172.83827209472656,221.57456970214844,312.1642761230469,137.06980895996094,63.53175735473633,106.27017974853516
labeled-data,2018-05-26_2_SS093_eye_clip,img61859.png,163.624755859375,26.220916748046875,173.3777803632275,230.29218018839592,284.9847106933594,155.54139709472656,72.89553355634942,108.5573035664197,167.86767578125,20.702442169189453,180.0384521484375,240.82150268554688,316.81500244140625,142.6717529296875,54.52961730957031,86.77806854248047
labeled-data,2018-05-26_2_SS093_eye_clip,img68122.png,,,165.07305035047835,227.17555958960634,272.96575927734375,151.32684326171875,77.44745077023006,111.85646097924135,187.643310546875,33.475528717041016,164.5644989013672,238.63409423828125,318.4394226074219,144.7373504638672,54.40953826904297,97.41153717041016
labeled-data,2018-05-26_2_SS093_eye_clip,img69280.png,185.0502731796292,34.946948597174696,163.65805053710938,221.5557861328125,267.077880859375,155.1352081298828,82.15821838378906,112.73719787597656,164.26800537109375,28.76239013671875,166.90985107421875,237.2447509765625,315.53240966796875,145.88812255859375,50.15827941894531,95.80440521240234
