scorer,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000,DLC_resnet50_PupilApr27shuffle1_1030000
bodyparts,pupil_top,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_left,pupil_right,pupil_right,pupil_right,lid_top,lid_top,lid_top,lid_bottom,lid_bottom,lid_bottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\2015-09-03_1_SS048_eye\img58751.png,1.14243745803833,245.80111694335938,0.9637507200241089,151.34519958496094,138.72030639648438,1.0,124.89472198486328,109.75303649902344,1.0,173.53053283691406,114.2669677734375,1.0,167.02845764160156,89.25529479980469,1.0,166.15042114257812,154.99256896972656,1.0
labeled-data\2015-09-03_1_SS048_eye\img58759.png,1.3196842670440674,246.2792510986328,0.9642549753189087,151.20989990234375,138.96461486816406,1.0,123.99847412109375,109.44812774658203,1.0,173.6194610595703,114.07342529296875,1.0,168.42041015625,89.04801940917969,1.0,167.6328125,156.57733154296875,1.0
labeled-data\2015-09-03_1_SS048_eye\img71558.png,0.8172633647918701,244.23023986816406,0.6117948293685913,146.02098083496094,127.03755950927734,0.9999979734420776,118.37130737304688,106.35897827148438,1.0,168.3757781982422,111.26359558105469,1.0,159.0821075439453,95.19661712646484,1.0,159.53192138671875,139.13336181640625,1.0
labeled-data\2015-09-03_1_SS048_eye\img71559.png,0.9224917888641357,244.14793395996094,0.1923554241657257,146.13796997070312,127.65465545654297,0.9997000098228455,118.20410919189453,106.97334289550781,1.0,168.0068817138672,111.87373352050781,1.0,159.52841186523438,96.10203552246094,1.0,159.78347778320312,138.38088989257812,1.0
labeled-data\2015-09-03_1_SS048_eye\img71560.png,0.8619742393493652,244.5702362060547,0.05643299221992493,145.6193084716797,127.37728881835938,0.9942368268966675,117.829833984375,106.66446685791016,1.0,168.203125,112.22522735595703,1.0,159.24143981933594,96.55723571777344,1.0,160.13241577148438,138.17796325683594,1.0
labeled-data\2015-09-03_1_SS048_eye\img71562.png,1.439373254776001,246.31539916992188,0.10380607843399048,146.5264434814453,129.98524475097656,0.9999998807907104,118.55061340332031,108.56060028076172,1.0,169.50404357910156,112.38404083251953,1.0,159.82225036621094,96.3283462524414,1.0,161.33082580566406,141.9254150390625,1.0
labeled-data\2015-09-03_1_SS048_eye\img71563.png,0.7211587429046631,244.22259521484375,0.6308496594429016,146.6523895263672,129.5200958251953,0.999998927116394,117.85494995117188,108.3840560913086,1.0,169.20199584960938,112.57493591308594,1.0,159.30140686035156,96.21778869628906,1.0,160.64950561523438,141.08473205566406,1.0
labeled-data\2015-09-03_1_SS048_eye\img71564.png,0.8110086917877197,243.2855987548828,0.9190493822097778,147.26356506347656,129.13330078125,0.999707818031311,118.55696105957031,108.11578369140625,1.0,169.61521911621094,112.8985824584961,1.0,160.0068817138672,96.00633239746094,1.0,161.39427185058594,140.28062438964844,1.0
labeled-data\2015-09-03_1_SS048_eye\img71565.png,0.21045923233032227,242.83544921875,0.7505438923835754,146.67234802246094,128.7974395751953,0.9999616146087646,118.15870666503906,107.97013092041016,1.0,168.3105926513672,112.3205795288086,1.0,159.5380401611328,95.60784149169922,1.0,160.84381103515625,139.7902069091797,1.0
labeled-data\2015-09-03_1_SS048_eye\img71566.png,0.6561927795410156,243.6021728515625,0.7052665948867798,146.3913116455078,128.88400268554688,0.9999997615814209,118.28495788574219,108.04911041259766,1.0,168.09580993652344,112.31612396240234,1.0,158.73382568359375,96.53157806396484,1.0,160.3421630859375,140.6981658935547,1.0
labeled-data\2015-09-03_1_SS048_eye\img71567.png,0.624171257019043,243.7881622314453,0.8904823064804077,147.264892578125,129.75051879882812,1.0,118.94954681396484,108.54935455322266,1.0,168.16122436523438,112.9395751953125,1.0,160.16473388671875,96.47117614746094,1.0,161.18649291992188,141.63438415527344,1.0
labeled-data\2015-09-03_1_SS048_eye\img71568.png,0.535616397857666,243.54405212402344,0.8488761186599731,146.57565307617188,130.31890869140625,1.0,118.89517211914062,108.84901428222656,1.0,168.66763305664062,112.60713958740234,1.0,159.39706420898438,96.28734588623047,1.0,159.97079467773438,141.88998413085938,1.0
labeled-data\2015-09-03_1_SS048_eye\img71569.png,0.5874998569488525,243.52987670898438,0.632028341293335,147.4056854248047,129.55630493164062,0.9999998211860657,118.50379943847656,108.56094360351562,1.0,168.7703857421875,112.6309814453125,1.0,159.6121063232422,96.10011291503906,1.0,160.484130859375,141.01834106445312,1.0
labeled-data\2015-09-03_1_SS048_eye\img71571.png,1.1270806789398193,245.3046112060547,0.666067361831665,146.78553771972656,131.8504638671875,1.0,119.94672393798828,108.48064422607422,1.0,169.3489532470703,112.35531616210938,1.0,161.1546630859375,93.718017578125,1.0,162.28819274902344,143.75531005859375,1.0
