scorer,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-11-17_1_SS047_eye\img01880.png,189.32461356345112,110.33230112028,191.63208152481604,156.02016675530547,165.78844035752888,134.32996791847518,215.6297483230112,134.79146151074818,182.4022096793563,58.18352519343273,185.63266482526723,238.16602617989673
labeled-data\2015-11-17_1_SS047_eye\img06674.png,187.01714560208615,114.94723704300984,188.40162637890512,161.0965962703083,165.78844035752888,138.94490384120505,210.55331880800838,138.48341024893205,177.78727375662646,66.49040985434644,177.3257801643535,235.8585582185318
labeled-data\2015-11-17_1_SS047_eye\img07527.png,191.17058793254301,114.94723704300984,193.93954948618097,159.71211549348934,166.24993394980186,138.48341024893205,214.70676113846525,135.71444869529415,169.48038909571272,65.56742266980046,171.78785705707764,238.16602617989673
labeled-data\2015-11-17_1_SS047_eye\img08717.png,187.01714560208615,109.40931393573402,190.70909434027004,156.48166034757844,163.48097239616396,134.79146151074818,213.32228036164628,132.94548714165623,175.9412993875345,61.413980339343624,175.01831220298857,235.39706462625884
labeled-data\2015-11-17_1_SS047_eye\img12841.png,,,,,,,,,146.8672030743365,116.79321141210178,146.40570948206351,126.48457684983444
labeled-data\2015-11-17_1_SS047_eye\img12842.png,,,,,,,,,172.63436889648438,122.78414916992188,173.17233783389662,132.48399354938326
labeled-data\2015-11-17_1_SS047_eye\img19833.png,182.86370327162928,107.1018459743691,186.0941584175402,155.5586731630325,158.4045428811611,133.8684743262022,210.55331880800838,131.09951277256428,171.32636346480467,67.41339703889241,169.9418826879857,233.5510902571669
labeled-data\2015-11-17_1_SS047_eye\img22502.png,187.47863919435912,98.79496131345536,191.17058793254301,149.55925646348368,163.01947880389093,126.94607044210744,215.16825473073823,125.1000960730155,175.47980579526154,66.02891626207347,175.47980579526154,230.782128703529
labeled-data\2015-11-17_1_SS047_eye\img25287.png,,,,,,,,,166.71142754207483,97.41048053663641,169.01889550343975,106.6403523820961
labeled-data\2015-11-17_1_SS047_eye\img25296.png,,,,,,,,,177.3257801643535,110.33230112028,177.78727375662646,120.02366655801268
labeled-data\2015-11-17_1_SS047_eye\img25297.png,,,,,150.09765822024735,114.94723704300984,,,179.8534393310547,96.48487091064453,181.47922249481036,135.25295510302115
labeled-data\2015-11-17_1_SS047_eye\img25316.png,,,,,,,,,155.21307373046875,115.6729965209961,156.55856851206914,134.32996791847518
labeled-data\2015-11-17_1_SS047_eye\img25338.png,,,,,,,,,137.6373312288768,121.40814733483163,137.17583763660383,132.94548714165623
labeled-data\2015-11-17_1_SS047_eye\img25370.png,,,,,,,,,149.1746710357014,167.0960129698571,148.71317744342844,180.47932714577365
labeled-data\2015-11-17_1_SS047_eye\img25373.png,,,,,,,,,,,,
labeled-data\2015-11-17_1_SS047_eye\img25374.png,,,,,,,,,,,,
labeled-data\2015-11-17_1_SS047_eye\img25375.png,,,,,,,,,168.0959083188938,146.79029490984578,171.06732177734375,209.44456481933594
labeled-data\2015-11-17_1_SS047_eye\img27884.png,190.70909434027004,98.33346772118239,195.32403026299988,152.78971160939457,163.01947880389093,128.3305512189264,222.090658614833,126.02308325756147,178.24876734889943,60.02949956252465,179.17175453344544,236.78154540307779
labeled-data\2015-11-17_1_SS047_eye\img31170.png,189.7861071557241,102.94840364391223,192.09357511708902,150.02075005575668,165.78844035752888,130.6380191802913,215.16825473073823,128.3305512189264,167.1729211343478,66.49040985434644,169.48038909571272,228.93615433443705
labeled-data\2015-11-17_1_SS047_eye\img33862.png,172.24935064935067,106.17885878982312,175.9412993875345,153.71269879394055,148.71317744342844,132.48399354938326,199.47747259345675,131.09951277256428,164.4039595807099,76.18177529207912,170.40337628025873,228.01316714989107
labeled-data\2015-11-17_1_SS047_eye\img34947.png,,,,,,,,,160.712010842526,118.17769218892073,159.3275300657071,188.3247182144144
labeled-data\2015-11-17_1_SS047_eye\img39028.png,,,,,,,,,172.71084424162365,91.8725574293606,174.5568186107156,122.3311345193776
labeled-data\2015-11-17_1_SS047_eye\img39069.png,,,,,,,2.219287872314453,268.58209228515625,,,,
labeled-data\2015-11-17_1_SS047_eye\img39070.png,,,,,,,,,,,,
labeled-data\2015-11-17_1_SS047_eye\img39074.png,,,185.63266482526723,149.55925646348368,,,,,150.40940856933594,117.54299926757812,157.02006210434217,209.55342345897168
labeled-data\2015-11-17_1_SS047_eye\img39108.png,,,,,,,,,160.25051725025304,138.94490384120505,162.55798521161796,167.0960129698571
