scorer,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/2019-11-22_3_CR020_eye/img0219.png,161.0348499454542,144.89182976850145,161.0348499454542,155.99444397283224,155.73587498429634,150.1908047296593,166.3338249066121,149.9384725886518,165.07216420157454,120.66794423177967,167.59548561164968,205.9562078923209
labeled-data/2019-11-22_3_CR020_eye/img0458.png,160.2053887351354,140.2230215998611,161.514126332152,160.11583307451355,148.9502454007926,149.38418477897736,172.5075221470915,148.8606897401707,168.5813093560417,116.9274923729655,171.46053206947823,209.32436672233794
labeled-data/2019-11-22_3_CR020_eye/img0711.png,163.7778242873548,140.8446524551602,165.77388450726505,155.56559657699808,155.54407588022517,149.5774159172674,174.00763291439472,147.83086322484596,167.76994472717524,113.39882443139467,171.26305011201816,213.45134295439448
labeled-data/2019-11-22_3_CR020_eye/img1350.png,162.58685738177243,141.45700131659075,163.16496161527473,155.90960715414823,155.3605544629937,148.97235635212064,171.83652511780923,147.5270957683649,169.52410818380002,114.28610234198266,172.70368146806268,211.69666568712015
labeled-data/2019-11-22_3_CR020_eye/img1384.png,162.87780882467456,141.81957673398819,164.5581266129181,156.94243682817995,155.03632581287144,149.9411127104986,171.55945073059945,148.26079492225506,169.59907997764867,112.69406840443366,170.99934480118498,213.79318866375274
labeled-data/2019-11-22_3_CR020_eye/img2778.png,165.59748627214134,142.11617532071602,165.59748627214134,159.09398564402787,156.80540592614057,150.60508048237193,173.78321624945238,149.39237974499252,170.14511403731416,117.25581020443798,171.35781477469357,211.2401173513428
labeled-data/2019-11-22_3_CR020_eye/img2793.png,168.78886801014204,142.18140169960702,170.26331626692476,160.61200490939123,160.4336612217065,152.9940222493471,177.88129892696892,151.27383261643388,172.4749886520989,133.58045353504104,172.9664714043598,181.50002188048
labeled-data/2019-11-22_3_CR020_eye/img2847.png,162.75709639019558,144.13672157719859,164.4236183662527,159.13541936171265,156.0910084859671,152.19157779480798,171.36745993315736,150.52505581875087,166.09014034230984,118.58338461098944,166.36789400498603,209.13107864342618
labeled-data/2019-11-22_3_CR020_eye/img3253.png,162.34040985226224,143.7727373956601,163.7574243008306,157.0926732122025,156.95575494770256,150.8578096385018,169.14207920539027,150.57440674878814,171.6927052128133,116.84946287286164,168.85867631567663,210.37241647837212
labeled-data/2019-11-22_3_CR020_eye/img3532.png,161.7279843227505,141.55973744213222,164.29838262480467,158.2673264054845,154.01678941658787,151.3272509899382,170.9814182101456,149.27093234829482,166.61174109665347,118.94023238405526,166.61174109665347,209.6752924465685
labeled-data/2019-11-22_3_CR020_eye/img3892.png,162.53253961545565,146.1852640129897,163.33190524125934,155.51119631403247,157.73634586063363,150.98145776781172,167.06227816167643,150.44854735060926,168.66100941328378,118.47392231846251,170.79265108209356,211.20033491168806
labeled-data/2019-11-22_3_CR020_eye/img4346.png,161.1920195119613,146.18627885627535,163.12028900742175,159.20209795063332,155.40721102557998,153.417289464252,168.42303011993795,152.21212102958924,166.4947606244775,128.8318533971314,167.6999290591403,189.57234250413524
labeled-data/2019-11-22_3_CR020_eye/img4375.png,162.43618890987196,145.66398338151149,162.19609676077897,159.10914373071807,156.43388518254758,151.42619495974287,169.63895338266119,152.1464714070218,164.59701825170873,123.57550566495783,166.03757114626657,195.12296609466426
labeled-data/2019-11-22_3_CR020_eye/img4689.png,163.75647155420725,144.44605397066294,164.01916061145013,160.47008646247994,157.1892451231347,152.0640366307071,170.32369798527978,151.5386585162213,172.6878995004659,120.278660704316,165.13899097061713,207.24963832582267
labeled-data/2019-11-22_3_CR020_eye/img5224.png,159.00608249440236,143.53210162055268,160.56526915674732,156.0055949193124,152.7693358450225,150.02871271365672,166.8020158061272,149.50898382620838,169.4006602433688,115.72660614206748,169.4006602433688,212.91590809490359
labeled-data/2019-11-22_3_CR020_eye/img5746.png,161.12772032366667,142.26326931146122,162.1332827363384,157.09531489836957,153.33461162546058,150.30776861283525,169.42361022820864,149.05081559699556,167.915266609201,118.63255261367505,171.937516259888,211.89846638898007
labeled-data/2019-11-22_3_CR020_eye/img6089.png,169.04942739846206,142.9564904447441,169.33659643953405,162.77115427871138,157.2754967145105,153.58174496440773,180.5361890413416,151.8587307179758,169.04942739846206,121.9931504464889,169.91093452167803,204.6978342752218
labeled-data/2019-11-22_3_CR020_eye/img6312.png,163.91168518794035,142.9193322055538,164.20356191821026,156.34566179796877,156.90664366146302,149.92437373203117,170.6248499841479,149.3406202714914,164.78731537875007,122.77983781693132,166.8304524906393,202.46218518061147
labeled-data/2019-11-22_3_CR020_eye/img6882.png,162.23734508517964,144.3105182536013,162.49626799106423,155.18528030075367,157.05888696748804,150.26574508894663,167.67472610875583,150.00682218306207,167.15688029698666,121.52530253575821,165.93716846533752,203.25875085222071
labeled-data/2019-11-22_3_CR020_eye/img7170.png,162.21250642026882,142.80350578975833,163.8338345800261,154.1528029080592,156.5378578611184,149.55903978874693,168.96804041925742,148.2079329889492,168.15737633937877,126.59022419218567,168.15737633937877,189.01135834284034
