scorer,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-11-10_4_SS047_eye\img00707.png,,,,,151.7234326232538,92.98191085118637,,,150.76792907714844,55.39653015136719,154.55643768370652,129.81097663707163
labeled-data\2015-11-10_4_SS047_eye\img00708.png,,,,,,,,,144.19627380371094,75.44690704345703,142.81970243325958,100.67149601527231
labeled-data\2015-11-10_4_SS047_eye\img03063.png,179.64876821914484,85.69704069573652,181.67234326232537,129.40626162843554,154.96115269234264,109.57522620526655,204.74109875458316,108.36108117935825,169.1261779946062,31.060514529862758,169.9356080118784,211.15869337292813
labeled-data\2015-11-10_4_SS047_eye\img03616.png,,,,,,,,,172.7686130723311,74.36502045392567,174.38747310687552,102.69507105845281
labeled-data\2015-11-10_4_SS047_eye\img03622.png,,,,,,,,,153.48287963867188,76.39208984375,154.15172267507043,98.2432059634557
labeled-data\2015-11-10_4_SS047_eye\img03623.png,,,,,,,,,146.81980895996094,86.89750671386719,146.0574225023484,116.86009636071637
labeled-data\2015-11-10_4_SS047_eye\img06203.png,177.62519317596434,90.55362079936975,178.02990818460043,131.02512166297996,154.15172267507043,111.19408623981096,200.69394866822216,108.76579618799434,165.88845792551737,28.63222447804617,162.65073785642858,210.34926335565592
labeled-data\2015-11-10_4_SS047_eye\img07030.png,,,,,,,,,144.3251190185547,72.02066040039062,144.03384745916787,87.72061573891705
labeled-data\2015-11-10_4_SS047_eye\img07031.png,,,,,,,,,138.66928100585938,81.69204711914062,139.58198236417076,95.00548589436687
labeled-data\2015-11-10_4_SS047_eye\img07033.png,,,160.62716281324805,110.78937123117484,132.48789978027344,87.80075073242188,188.147783400503,86.91118572164484,138.8988037109375,71.37369537353516,139.58198236417076,145.99957698251572
labeled-data\2015-11-10_4_SS047_eye\img07039.png,,,,,,,,,134.30506896972656,78.06275177001953,134.72540226053752,97.0290609375474
labeled-data\2015-11-10_4_SS047_eye\img07040.png,,,,,,,,,120.82628631591797,82.60069274902344,120.56037695827396,105.93279112754163
labeled-data\2015-11-10_4_SS047_eye\img07091.png,,,167.50731796006178,108.36108117935825,139.35263061523438,84.6614990234375,197.45622859913334,85.69704069573652,136.781005859375,71.32161712646484,139.98669737280687,134.66755674070487
labeled-data\2015-11-10_4_SS047_eye\img07092.png,,,,,,,,,148.8702392578125,99.69783020019531,149.2951425714372,125.76382655071063
labeled-data\2015-11-10_4_SS047_eye\img07094.png,,,174.56703186035156,115.6431655883789,143.38479614257812,88.23889923095703,205.3841094970703,85.40203857421875,160.0503387451172,65.58683013916016,154.82418823242188,173.2348175048828
labeled-data\2015-11-10_4_SS047_eye\img07137.png,,,170.34032302051452,110.78937123117484,,,,,154.96115269234264,83.26875064391993,154.06227111816406,149.76626586914062
labeled-data\2015-11-10_4_SS047_eye\img07138.png,,,,,,,,,129.05007934570312,108.5298843383789,129.4641071482682,126.16854155934672
labeled-data\2015-11-10_4_SS047_eye\img07139.png,,,,,,,,,,,,
labeled-data\2015-11-10_4_SS047_eye\img07140.png,,,,,,,,,117.32265688918514,151.66558710342116,117.33090209960938,173.32142639160156
labeled-data\2015-11-10_4_SS047_eye\img07142.png,,,,,,,,,125.20547485351562,105.06034088134766,126.7668685913086,172.73374938964844
labeled-data\2015-11-10_4_SS047_eye\img07143.png,,,172.3782958984375,115.8519287109375,143.22441744189567,91.76776582527805,196.8658447265625,93.98197937011719,154.35084533691406,81.50971221923828,149.8658905029297,186.27987670898438
labeled-data\2015-11-10_4_SS047_eye\img07163.png,186.60768127441406,59.97585678100586,188.77606201171875,116.35079193115234,157.0486602783203,92.16558837890625,215.5654754638672,87.80703735351562,157.79244995117188,34.814659118652344,158.7619171142578,190.89361572265625
labeled-data\2015-11-10_4_SS047_eye\img07809.png,160.58920288085938,71.05779266357422,161.00624084472656,126.84239196777344,131.39891052246094,99.94990539550781,189.31655883789062,99.44393920898438,153.59376525878906,36.08278274536133,149.7582244873047,201.4697265625
labeled-data\2015-11-10_4_SS047_eye\img07975.png,176.00633314141993,78.4121705402867,175.60161813278384,130.21569164570775,145.65270749371228,106.74222114481384,202.71752371140263,104.31393109299722,158.19887276143146,30.25108451259058,159.41301778733975,208.32568831247542
labeled-data\2015-11-10_4_SS047_eye\img13430.png,181.26762825368925,84.07818066119214,182.48177327959758,130.62040665434384,156.17529771825093,109.57522620526655,205.5505287718554,108.36108117935825,166.69788794278958,26.60864943486564,163.86488288233687,214.39641344201695
