scorer,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-08-27_1_SS048_eye\img13698.png,155.24289415472253,101.14854428653683,156.10068634283806,138.03360837550383,138.94484258052782,119.16218023696257,174.97211448137932,122.16445289536685,168.96756916457073,35.52744189570021,168.96756916457073,211.37484045938004
labeled-data\2015-08-27_1_SS048_eye\img15506.png,156.95847853095358,91.7128302172662,158.24516681312684,139.3202966576771,134.65588163995028,116.15990757855826,180.9766597981879,117.44659586073155,168.53867307051297,26.52062392048731,171.11204963485952,214.37711311778435
labeled-data\2015-08-27_1_SS048_eye\img16227.png,154.8139980606648,96.00179115784374,154.8139980606648,137.1758161873883,135.08477773400801,117.44659586073155,174.54321838732156,117.87549195478931,167.2519847883397,31.23848095512264,167.68088088239747,211.37484045938004
labeled-data\2015-08-27_1_SS048_eye\img17649.png,,,147.0938683676252,119.59107633102033,127.36464804096843,101.14854428653683,168.53867307051297,101.57744038059457,161.92642211914062,89.14309692382812,163.82081603587767,169.34302324172
labeled-data\2015-08-27_1_SS048_eye\img17737.png,,,,,,,,,192.98575043180506,110.58425835580746,193.41464652586282,133.74464743492626
labeled-data\2015-08-27_1_SS048_eye\img18433.png,,,,,,,,,207.139321535711,113.15763492015398,205.85263325353773,130.74237477652196
labeled-data\2015-08-27_1_SS048_eye\img18853.png,158.6740629071846,92.99951849943946,158.6740629071846,132.457959152753,139.80263476864334,111.44205054392296,177.1165949516681,113.58653101421174,170.254257446744,56.11445441047246,168.96756916457073,191.21672403866552
labeled-data\2015-08-27_1_SS048_eye\img22086.png,157.38737462501132,95.14399896972824,156.10068634283806,138.46250446956157,137.65815429835456,117.87549195478931,178.40328323384136,117.44659586073155,168.96756916457073,35.098545801642445,165.10750431805093,210.08815217720678
labeled-data\2015-08-27_1_SS048_eye\img29295.png,,,,,,,,,194.27243871397832,95.572895063786,192.98575043180506,114.44432320232724
labeled-data\2015-08-27_1_SS048_eye\img29304.png,,,,,,,,,191.27016605557404,102.00633647465233,190.84126996151628,125.16672555377116
labeled-data\2015-08-27_1_SS048_eye\img29777.png,,,,,,,,,191.6990621496318,115.73101148450053,188.26789339716976,135.46023181115729
labeled-data\2015-08-27_1_SS048_eye\img29848.png,,,,,,,,,186.98120511499647,96.85958334595927,188.26789339716976,114.873219296385
labeled-data\2015-08-27_1_SS048_eye\img31817.png,160.81854337747336,99.43295991030581,161.6763355655889,141.8936732220236,140.66042695675884,119.59107633102033,180.9766597981879,120.01997242507807,166.82308869428195,40.67419502439327,165.10750431805093,208.37256780097576
labeled-data\2015-08-27_1_SS048_eye\img41753.png,,,,,146.23607617950967,114.44432320232724,194.27243871397832,114.0154271082695,175.40101057543708,80.56153177176455,172.82763401109054,126.88230993000218
labeled-data\2015-08-27_1_SS048_eye\img41759.png,,,,,,,,,175.82990666949482,101.57744038059457,177.9743871397836,114.873219296385
labeled-data\2015-08-27_1_SS048_eye\img41884.png,,,,,,,,,175.17349243164062,101.41514587402344,174.54321838732156,123.88003727159787
labeled-data\2015-08-27_1_SS048_eye\img41898.png,,,,,,,,,203.27925668919121,119.16218023696257,202.4214645010757,140.1780888457926
labeled-data\2015-08-27_1_SS048_eye\img41993.png,159.5318550953001,91.7128302172662,159.10295900124234,134.17354352898403,138.51594648647009,112.29984273203848,180.11886761007239,115.73101148450053,165.96529650616645,80.13263567770679,166.3941926002242,165.05406230114244
labeled-data\2015-08-27_1_SS048_eye\img42298.png,,,,,132.5114011696615,112.72873882609622,168.53867307051297,110.58425835580746,170.254257446744,102.00633647465233,170.68315354080175,136.31802399927278
labeled-data\2015-08-27_1_SS048_eye\img43099.png,154.38510196660704,92.99951849943946,153.95620587254928,138.03360837550383,131.22471288748824,114.873219296385,174.97211448137932,116.58880367261602,168.96756916457073,38.100818460046725,164.24971212993543,209.23035998909126
labeled-data\2015-08-27_1_SS048_eye\img44918.png,,,,,,,,,199.41919184267138,110.58425835580746,199.41919184267138,132.457959152753
labeled-data\2015-08-27_1_SS048_eye\img45050.png,,,,,,,,,213.1438668525196,119.16218023696257,215.28834732280833,139.3202966576771
labeled-data\2015-08-27_1_SS048_eye\img45116.png,,,,,,,,,181.8344519863034,78.84594739553353,179.68997151601462,109.72646616769194
labeled-data\2015-08-27_1_SS048_eye\img45513.png,,,,,,,,,194.27243871397832,99.43295991030581,195.98802309020934,131.17127087057972
