scorer,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar,Anwar
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/2019-11-14_2_CR017_eye/img00021.png,131.48456307919722,108.87768468929445,129.76758087441013,120.55316368184661,123.92984137813406,113.68523486269828,136.63550969355845,115.74561350844277,139.03928478026037,63.549354482915476,126.33361646483596,163.47771880152368
labeled-data/2019-11-14_2_CR017_eye/img00516.png,134.3224152290303,112.08720095181438,133.28703152885186,119.68001475312313,128.11011302795953,115.19335205234978,138.11882212968467,115.53847995240928,142.26035693039853,65.14980654372397,128.455240928019,158.6794674598453
labeled-data/2019-11-14_2_CR017_eye/img01229.png,133.05250446162995,116.54629606186799,131.92757406305765,121.04601765615709,129.6777132659131,117.67122646044027,135.3023652587745,119.17113365853663,140.4560975609756,65.63229268292679,126.67789886972035,161.5435120047591
labeled-data/2019-11-14_2_CR017_eye/img01389.png,133.7139773944081,112.66646148720996,132.3558524687686,122.51286719809633,126.24429030339084,116.74083626412846,138.80694586555623,118.7780236525877,140.5046020226056,66.49021401546696,127.26288399762046,163.9356774301011
labeled-data/2019-11-14_2_CR017_eye/img01520.png,135.5320951814396,102.99014120166564,133.2206710291493,125.4439758239143,124.30517787031526,113.2264481618084,144.77779179060082,115.53787231409872,145.76840214158236,78.55508587745388,136.19250208209397,148.55821734681734
labeled-data/2019-11-14_2_CR017_eye/img01548.png,131.77646400951812,106.2935722070196,130.22805234979177,125.49387678762639,122.17631171921471,114.6549951695419,139.82820464009515,116.20340682926826,140.4475693039857,69.1316923735871,124.43193873987732,160.1571661373198
labeled-data/2019-11-14_2_CR017_eye/img01909.png,131.76260559190953,112.62266888756687,131.09100535395592,122.36087233789407,125.71820345032714,117.65967067221887,137.13540749553832,118.33127091017246,138.6155930993456,67.43009189767994,126.47082212968468,160.07734472337887
labeled-data/2019-11-14_2_CR017_eye/img02141.png,132.2833805219171,114.24867792370233,131.57839445107737,120.94604559667974,128.0534640968787,117.06862220706122,135.80831087611574,118.47859434874069,138.98074819489455,68.77707635453979,128.0534640968787,161.48274466996418
labeled-data/2019-11-14_2_CR017_eye/img02533.png,132.67992623438425,115.15264028554432,132.0307126710291,121.96938270077335,127.4862177275431,117.74949453896491,136.8998143961927,119.04792166567519,138.84745508625815,68.40926372397385,122.83558375043654,160.95534363204013
labeled-data/2019-11-14_2_CR017_eye/img03143.png,136.3372159428911,116.44375443188572,135.10594883997618,121.98445639500291,132.3355978584176,118.90628863771558,138.49193337299224,119.52192218917304,139.41538370017844,69.03997096966086,123.63376124515693,160.95534363204013
labeled-data/2019-11-14_2_CR017_eye/img04543.png,147.9998738845925,115.02429001784651,147.29469363474118,120.66573201665673,143.7687923854848,117.49242089232598,150.46800475907196,118.5501912671029,140.94807138607968,66.71944290303392,130.72295776323614,162.27136675788216
labeled-data/2019-11-14_2_CR017_eye/img04764.png,143.42419750148716,114.67679552647232,143.1051873884592,120.09996744794763,139.59607614515164,117.228876430696,146.61429863176676,118.18590676977988,138.95805591909573,69.69636958953004,128.11171207614512,162.20930236763826
labeled-data/2019-11-14_2_CR017_eye/img05508.png,127.17010451352577,106.2376898300068,125.93198225447767,113.6664233842953,122.46523992914304,109.45680770353181,130.14159793524118,110.44730551077028,139.303702652197,73.79888664294697,126.1796067062873,154.5244579328821
labeled-data/2019-11-14_2_CR017_eye/img05664.png,145.58503223915935,114.42463013179305,145.38354314148916,119.26036847587744,142.15971757876625,116.43952110849489,148.4058796065419,117.24547749917562,139.54035930905388,71.1044741327038,128.659948034864,159.75967710758414
labeled-data/2019-11-14_2_CR017_eye/img05756.png,147.1137198007722,113.426069173837,146.45840946442434,118.8869886434027,143.1818577826849,116.04731051922853,149.73496114616373,116.92105763435904,139.68686932216286,72.57839154148559,125.23011623459772,157.76263365315862
labeled-data/2019-11-14_2_CR017_eye/img06029.png,138.5800019214658,114.689801710473,137.45015651396943,120.33902874795476,134.73852753597816,116.49755436246717,140.83969273645846,117.40143068846425,139.2579091659636,72.20761438861021,130.44511498749205,160.33555617332559
labeled-data/2019-11-14_2_CR017_eye/img06586.png,129.12797640701393,101.91149741745996,127.11967619518919,123.5565108115713,117.3013196040459,111.95299847658377,138.05375512623513,114.4075876243696,138.5000440621962,71.56384977210796,124.43193873987732,158.560811147879
labeled-data/2019-11-14_2_CR017_eye/img06711.png,140.55411275711964,99.7271117776982,138.39199768836076,123.27014252640573,127.10095232928674,110.2974521138526,150.64398307799428,112.45956718261145,142.4759928182386,68.49656078451471,129.50330240568547,161.94797875642527
